% group, sample size, group 2, sample size 2, behavior, feature, d-prime, d-prime all-frames
WingExtension, 312100, not during, 159972, WingExtenstion, nwingsdetected,    6.9835, 
WingExtension, 312100, not during, 159972, WingExtenstion, max_wing_angle,    6.6274, 
WingExtension, 312100, not during, 159972, WingExtenstion, mean_wing_angle,    6.6091, 
WingExtension, 312100, not during, 159972, WingExtenstion, wing_angle_diff,    6.6091, 
WingExtension, 312100, not during, 159972, WingExtenstion, angle_biggest_wing,    5.5969, 
WingExtension, 312100, not during, 159972, WingExtenstion, wing_angle_imbalance,    5.3783, 
WingExtension, 312100, not during, 159972, WingExtenstion, wing_anglel,    4.8932, 
WingExtension, 312100, not during, 159972, WingExtenstion, area_outmost_wing,    4.4431, 
WingExtension, 312100, not during, 159972, WingExtenstion, max_wing_area,    4.2023, 
WingExtension, 312100, not during, 159972, WingExtenstion, mean_wing_area,    3.9847, 
WingExtension, 312100, not during, 159932, WingExtenstion, dmin_wing_angle,    3.8337, 
WingExtension, 312100, not during, 159972, WingExtenstion, wing_angler,    3.7631, 
WingExtension, 312100, not during, 159932, WingExtenstion, darea_outmost_wing,    3.6513, 
WingExtension, 312100, not during, 159972, WingExtenstion, wing_areal,    3.4421, 
WingExtension, 312100, not during, 159972, WingExtenstion, wing_areal_mm,    3.4421, 
WingExtension, 312100, not during, 159932, WingExtenstion, dmax_wing_area,    3.3821, 
WingExtension, 312100, not during, 159972, WingExtenstion, wing_arear,    3.2858, 
WingExtension, 312100, not during, 159972, WingExtenstion, wing_arear_mm,    3.2858, 
WingExtension, 312100, not during, 159932, WingExtenstion, dwing_angle_diff,    3.1683, 
WingExtension, 312100, not during, 159932, WingExtenstion, dnwingsdetected,    3.0721, 
WingExtension, 312100, not during, 159972, WingExtenstion, angle_smallest_wing,    3.0356, 
WingExtension, 312100, not during, 159972, WingExtenstion, min_wing_area,    2.8448, 
WingExtension, 312100, not during, 159972, WingExtenstion, min_wing_angle,    2.7262, 
WingExtension, 312100, not during, 159932, WingExtenstion, max_absdwing_area,    2.6946, 
WingExtension, 312100, not during, 159972, WingExtenstion, area_inmost_wing,    2.6261, 
WingExtension, 312100, not during, 159932, WingExtenstion, dangle_smallest_wing,    2.4381, 
WingExtension, 312100, not during, 159932, WingExtenstion, dangle_biggest_wing,    2.4206, 
WingExtension, 312100, all frames, 472032, WingExtenstion, dt,    2.4193, 
WingExtension, 312100, not during, 159932, WingExtenstion, max_dwing_angle_in,    2.3328, 
WingExtension, 312100, not during, 159932, WingExtenstion, min_dwing_angle_out,    2.3328, 
WingExtension, 312100, not during, 159932, WingExtenstion, dmax_wing_angle,    2.2861, 
WingExtension, 312100, all frames, 472032, WingExtenstion, dmin_wing_angle,    2.2587, 
WingExtension, 312100, not during, 159932, WingExtenstion, min_absdwing_area,    2.0926, 
WingExtension, 312100, not during, 159932, WingExtenstion, darea_inmost_wing,    2.0808, 
WingExtension, 312100, not during, 159932, WingExtenstion, db,    2.0578, 
WingExtension, 312100, all frames, 472072, WingExtenstion, nwingsdetected,     1.745, 
WingExtension, 312100, all frames, 472032, WingExtenstion, dwing_angle_diff,    1.6535, 
WingExtension, 312100, not during, 159932, WingExtenstion, dwing_angle_imbalance,     1.583, 
WingExtension, 312100, not during, 159932, WingExtenstion, darea,     1.532, 
WingExtension, 312100, all frames, 472032, WingExtenstion, dnwingsdetected,    1.5256, 
WingExtension, 312100, not during, 159932, WingExtenstion, max_dwing_angle_out,    1.4919, 
WingExtension, 312100, not during, 159932, WingExtenstion, min_dwing_angle_in,    1.4919, 
WingExtension, 312100, not during, 159932, WingExtenstion, min_absdwing_angle,    1.4832, 
